"Rank","Player","Team","Position","Points","Games","Avg"
"384","Lance Dunbar","DAL","RB","25.9","9","2.9"
"385","Gavin Escobar","DAL","TE","25.7","15","1.7"
"386","Kyle Williams","Multi","WR","25.6","10","2.6"
"387","Jackie Battle","TEN","RB","25.0","15","1.7"
"387","Brandon Bostick","GB","TE","25.0","11","2.3"
"389","Brandon Stokley","BAL","WR","24.5","6","4.1"
"390","Stepfan Taylor","ARI","RB","24.2","15","1.6"
"390","Edmond Gates","NYJ","WR","24.2","6","4.0"
"392","Vonta Leach","BAL","RB","24.0","15","1.6"
"393","Marcus Thigpen","MIA","WR","23.4","15","1.6"
"393","Khiry Robinson","NO","RB","23.4","9","2.6"
"395","Chris Owusu","TB","WR","22.9","8","2.9"
"395","Tommy Bohanon","NYJ","RB","22.9","15","1.5"
"397","Isaiah Pead","LAR","RB","22.9","9","2.5"
"398","Jacoby Ford","LV","WR","22.4","14","1.6"
"399","Andrew Hawkins","CIN","WR","21.8","7","3.1"
"400","Johnathan Franklin","GB","RB","21.7","11","2.0"
"401","Josh Boyce","NE","WR","21.1","9","2.3"
"402","Malcom Floyd","LAC","WR","20.9","2","10.5"
"403","Jeremy Ross","Multi","WR","20.7","12","1.7"
"404","Michael Preston","TEN","WR","20.7","7","3.0"
"404","Greg Salas","NYJ","WR","20.7","7","3.0"
"406","Kenny Britt","TEN","WR","20.6","12","1.7"
"407","Bear Pascoe","NYG","TE","20.3","15","1.4"
"408","Tashard Choice","Multi","RB","20.2","14","1.4"
"409","Fred Davis","WAS","TE","20.0","9","2.2"
"410","Vance McDonald","SF","TE","19.9","14","1.4"
"411","Deonte Thompson","BAL","WR","19.6","7","2.8"
"412","Jake Ballard","ARI","TE","19.4","7","2.8"
"413","Anthony Dixon","SF","RB","19.4","15","1.3"
"413","David Wilson","NYG","RB","19.4","5","3.9"
"415","James Hanna","DAL","TE","19.3","15","1.3"
"416","Brice Butler","LV","WR","19.3","10","1.9"
"417","Derrick Coleman","SEA","RB","18.9","11","1.7"
"418","Chris Hogan","BUF","WR","18.3","15","1.2"
"419","Travis Benjamin","CLE","WR","18.0","8","2.3"
"420","Brittan Golden","ARI","WR","17.6","4","4.4"
"421","Mario Manningham","SF","WR","17.5","6","2.9"
"422","John Potter","WAS","K","17.0","3","5.7"
"423","James Develin","NE","RB","16.8","15","1.1"
"424","Jeff Maehl","PHI","WR","16.7","15","1.1"
"425","Ryan Broyles","DET","WR","16.5","6","2.8"
"426","Chris Gragg","BUF","TE","16.3","9","1.8"
"427","Will Johnson","PIT","RB","16.2","14","1.2"
"428","Tarvaris Jackson","SEA","QB","16.1","3","5.4"
"429","Myles White","GB","WR","15.6","7","2.2"
"430","Seyi Ajirotutu","LAC","WR","15.4","13","1.2"
"431","Tony Scheffler","DET","TE","15.2","5","3.0"
"431","Dion Sims","MIA","TE","15.2","14","1.1"
"433","Theo Riddick","DET","RB","15.1","13","1.2"
"434","Chase Ford","MIN","TE","15.0","8","1.9"
"435","Domenik Hixon","CAR","WR","14.9","14","1.1"
"436","Jeron Mastrud","LV","TE","14.8","15","1.0"
"436","Rhett Ellison","MIN","TE","14.8","10","1.5"
"438","Stephen Burton","JAC","WR","14.7","4","3.7"
"439","Erik Lorig","TB","RB","14.4","14","1.0"
"440","David Paulson","PIT","TE","14.2","15","1.0"
"441","Will Ta'ufo'ou","JAC","RB","14.1","15","0.9"
"442","Michael Egnew","MIA","TE","13.9","15","0.9"
"443","Jamize Olawale","LV","RB","13.9","15","0.9"
"444","Josh Hill","NO","TE","13.8","13","1.1"
"445","Phillip Tanner","DAL","RB","13.5","15","0.9"
"446","Danny Noble","JAC","TE","13.2","7","1.9"
"447","Lee Smith","BUF","TE","12.8","15","0.9"
"448","Markus Wheaton","PIT","WR","12.4","11","1.1"
"448","Blaine Gabbert","JAC","QB","12.4","3","4.1"
"450","Austin Collie","NE","WR","12.3","7","1.8"
"451","Kellen Davis","SEA","TE","12.2","14","0.9"
"452","Joel Dreessen","DEN","TE","12.1","12","1.0"
"453","Jeff Tuel","BUF","QB","12.1","2","6.1"
"453","Tom Crabtree","TB","TE","12.1","7","1.7"
"455","Louis Murphy","NYG","WR","11.9","13","0.9"
"456","A.J. Jenkins","KC","WR","11.8","15","0.8"
"457","Patrick DiMarco","ATL","RB","11.6","13","0.9"
"458","Ricardo Lockette","SEA","WR","11.2","7","1.6"
"459","David Johnson","PIT","TE","11.0","5","2.2"
"460","Nick Toon","NO","WR","10.8","8","1.4"
"461","Dane Sanzenbacher","CIN","WR","10.4","9","1.2"
"462","Taylor Thompson","TEN","TE","10.3","15","0.7"
