"Rank","Player","Team","Position","Points","Games","Avg"
"327","Jordan Cameron","CLE","TE","48.6","14","3.5"
"328","Montell Owens","JAC","RB","48.2","13","3.7"
"329","Laurent Robinson","JAC","WR","47.2","7","6.7"
"329","Dwayne Harris","DAL","WR","47.2","16","3.0"
"331","Evan Royster","WAS","RB","46.7","16","2.9"
"332","Tom Crabtree","GB","TE","46.3","14","3.3"
"333","Robert Meachem","LAC","WR","46.1","15","3.1"
"334","Josh Brown","CIN","K","46.0","4","11.5"
"335","Derek Hagan","LV","WR","45.9","14","3.3"
"336","Vonta Leach","BAL","RB","44.5","16","2.8"
"337","Brady Quinn","KC","QB","44.2","10","4.4"
"338","Braylon Edwards","Multi","WR","43.9","13","3.4"
"339","Chris Ogbonnaya","CLE","RB","43.7","15","2.9"
"340","David Thomas","NO","TE","43.6","10","4.4"
"341","Ed Dickson","BAL","TE","43.5","13","3.4"
"342","Kevin Smith","DET","RB","43.3","12","3.6"
"342","Kyle Williams","SF","WR","43.3","11","3.9"
"344","Brandon Bolden","NE","RB","42.5","10","4.3"
"344","Michael Robinson","SEA","RB","42.5","16","2.7"
"346","Mohamed Massaquoi","CLE","WR","42.4","9","4.7"
"347","John Kuhn","GB","RB","42.1","14","3.0"
"348","Damaris Johnson","PHI","WR","41.8","14","3.0"
"349","Lamar Miller","MIA","RB","41.5","13","3.2"
"350","Billy Cundiff","WAS","K","41.0","5","8.2"
"351","Mike Thomas","Multi","WR","40.5","16","2.5"
"352","Chris Rainey","PIT","RB","40.2","16","2.5"
"353","Edmond Gates","NYJ","WR","39.6","11","3.6"
"354","Juron Criner","LV","WR","39.1","12","3.3"
"355","Lance Ball","DEN","RB","38.9","15","2.6"
"356","Brian Quick","LAR","WR","38.6","15","2.6"
"357","James Starks","GB","RB","38.6","6","6.4"
"358","Luke Stocker","TB","TE","38.5","16","2.4"
"359","Jorvorskie Lane","MIA","RB","38.2","16","2.4"
"360","Brandon Tate","CIN","WR","38.1","16","2.4"
"361","Jason Hanson","DET","K","38.0","16","2.4"
"361","Will Heller","DET","TE","38.0","16","2.4"
"363","Jerricho Cotchery","PIT","WR","37.5","14","2.7"
"364","Rashard Mendenhall","PIT","RB","37.4","6","6.2"
"365","Chris Ivory","NO","RB","37.2","6","6.2"
"366","Nate Kaeding","Multi","K","37.0","5","7.4"
"367","Darrel Young","WAS","RB","36.9","16","2.3"
"368","Montario Hardesty","CLE","RB","36.7","13","2.8"
"369","Ramses Barden","NYG","WR","36.0","12","3.0"
"370","Dante Rosario","LAC","TE","35.5","13","2.7"
"371","Will Johnson","PIT","RB","35.4","16","2.2"
"372","LaVon Brazill","IND","WR","33.6","15","2.2"
"373","Kirk Cousins","WAS","QB","32.8","3","10.9"
"374","Delone Carter","IND","RB","32.5","10","3.3"
"375","John Skelton","ARI","QB","31.8","7","4.5"
"376","DuJuan Harris","GB","RB","31.4","4","7.9"
"377","Curtis Brinkley","LAC","RB","31.2","9","3.5"
"378","Jed Collins","NO","RB","31.0","15","2.1"
"379","Deion Branch","NE","WR","30.5","9","3.4"
"380","Tashard Choice","BUF","RB","30.2","12","2.5"
"381","Jeff King","ARI","TE","29.9","16","1.9"
"382","Keshawn Martin","HOU","WR","29.8","16","1.9"
"383","Devin Aromashodu","MIN","WR","29.2","15","2.0"
"384","Niles Paul","WAS","TE","29.1","16","1.8"
"385","D.J. Ware","TB","RB","29.1","14","2.1"
"386","Brian Leonard","CIN","RB","28.3","15","1.9"
"387","LeGarrette Blount","TB","RB","28.3","13","2.2"
"388","Cole Beasley","DAL","WR","27.8","10","2.8"
"389","Donald Driver","GB","WR","27.7","13","2.1"
"390","Ryan Grant","Multi","RB","27.6","5","5.5"
"391","Jalen Parmele","JAC","RB","27.3","11","2.5"
"392","Steve Smith","LAR","WR","27.1","9","3.0"
"392","Lestar Jean","HOU","WR","27.1","14","1.9"
"394","Jordan Norwood","CLE","WR","26.8","2","13.4"
"395","Terrelle Pryor Sr.","LV","WR","26.5","3","8.8"
"395","Kris Durham","DET","WR","26.5","4","6.6"
"397","Erik Lorig","TB","RB","26.3","16","1.6"
"398","Rishard Matthews","MIA","WR","26.1","8","3.3"
"399","Tandon Doss","BAL","WR","25.3","14","1.8"
"400","Lawrence Vickers","DAL","RB","24.5","16","1.5"
"401","Marlon Moore","MIA","WR","24.5","14","1.8"
"402","Jeremy Stewart","LV","RB","24.3","4","6.1"
"403","Henry Hynoski","NYG","RB","24.0","16","1.5"
"404","Ryan Williams","ARI","RB","23.8","5","4.8"
"405","Justin Medlock","CAR","K","23.0","10","2.3"
"406","Jamie Harper","TEN","RB","22.8","7","3.3"
"407","Matthew Mulligan","LAR","TE","22.4","16","1.4"
"408","Bruce Miller","SF","TE","22.2","16","1.4"
"409","Armando Allen","CHI","RB","22.0","15","1.5"
"410","Jacob Hester","DEN","RB","21.8","3","7.3"
"411","Kevin Elliott","JAC","WR","20.8","13","1.6"
"412","Anthony Dixon","SF","RB","19.8","16","1.2"
"412","Gary Barnidge","CAR","TE","19.8","16","1.2"
"414","Mewelde Moore","IND","RB","19.7","9","2.2"
"415","John Phillips","DAL","TE","19.5","16","1.2"
"415","Stanley Havili","PHI","RB","19.5","15","1.3"
"417","Leon Washington","SEA","RB","19.4","16","1.2"
"418","Konrad Reuland","NYJ","TE","19.3","16","1.2"
"419","Matt Willis","DEN","WR","19.0","15","1.3"
"420","Joe McKnight","NYJ","RB","18.7","15","1.3"
"421","Josh Cooper","CLE","WR","18.6","6","3.1"
"422","Tyrod Taylor","BAL","QB","18.5","7","2.6"
"423","LaMichael James","SF","RB","18.4","4","4.6"
"424","Greg Jones","JAC","RB","18.2","12","1.5"
"425","Orson Charles","CIN","TE","18.1","16","1.1"
"426","Byron Leftwich","PIT","QB","18.0","2","9.0"
"426","Baron Batch","PIT","RB","18.0","12","1.5"
"428","Dorin Dickerson","BUF","TE","17.9","11","1.6"
"429","Alex Smith","CLE","TE","17.7","12","1.5"
"430","Jason Campbell","CHI","QB","17.5","6","2.9"
"431","Todd Heap","ARI","TE","17.4","2","8.7"
"432","Dion Lewis","PHI","RB","17.3","9","1.9"
"432","Lee Smith","BUF","TE","17.3","16","1.1"
"434","Armanti Edwards","CAR","WR","17.1","16","1.1"
"435","Lance Dunbar","DAL","RB","16.8","12","1.4"
"436","James Hanna","DAL","TE","16.6","16","1.0"
"437","David Ausberry","LV","TE","16.2","16","1.0"
"438","Terrance Copper","KC","WR","16.0","15","1.1"
"439","Leonard Pope","PIT","TE","15.9","7","2.3"
"439","Michael Hoomanawanui","NE","TE","15.9","14","1.1"
"441","Kevin Boss","KC","TE","15.5","2","7.8"
"442","Anthony Allen","BAL","RB","15.3","16","1.0"
"443","Le'Ron McClain","LAC","RB","15.1","16","0.9"
"444","Charlie Batch","PIT","QB","15.0","2","7.5"
"445","Matt Spaeth","CHI","TE","14.8","16","0.9"
"445","Shaun Hill","DET","QB","14.8","1","14.8"
"447","Stephen Burton","MIN","WR","14.5","12","1.2"
"447","Keith Toston","JAC","RB","14.5","3","4.8"
"449","Steve Breaston","KC","WR","14.4","7","2.1"
"450","Brian Robiskie","DET","WR","14.4","6","2.4"
"451","DeVier Posey","HOU","WR","14.4","11","1.3"
"452","Michael Palmer","ATL","TE","14.2","13","1.1"
"452","Phillip Tanner","DAL","RB","14.2","14","1.0"
"454","Randy McMichael","LAC","TE","14.1","11","1.3"
"455","Drew Davis","ATL","WR","14.0","16","0.9"
"456","Kealoha Pilares","CAR","WR","13.9","8","1.7"
"457","Brian Hoyer","ARI","QB","13.8","2","6.9"
"458","Rhett Ellison","MIN","TE","13.5","16","0.8"
"459","Bear Pascoe","NYG","TE","13.5","15","0.9"
"460","Donte' Stallworth","NE","WR","13.3","1","13.3"
"461","Plaxico Burress","PIT","WR","13.2","4","3.3"
"462","Brandon Banks","WAS","WR","13.1","12","1.1"
"463","Ryan Lindley","ARI","QB","12.9","6","2.2"
"464","D.J. Williams","GB","TE","12.7","13","1.0"
"465","Daniel Fells","NE","TE","12.5","13","1.0"
"466","Jamar Newsome","KC","WR","12.3","6","2.1"
"466","John Carlson","MIN","TE","12.3","14","0.9"
"468","Ryan Whalen","CIN","WR","12.3","9","1.4"
"469","David Paulson","PIT","TE","12.1","16","0.8"
"470","Darius Reynaud","TEN","RB","11.8","16","0.7"
"471","Tim Tebow","NYJ","TE","11.8","12","1.0"
"472","Roy Helu","WAS","RB","11.7","3","3.9"
"473","David Reed","BAL","WR","11.6","5","2.3"
"473","Greg McElroy","NYJ","QB","11.6","2","5.8"
"475","Josh Cribbs","CLE","WR","11.5","16","0.7"
"476","Virgil Green","DEN","TE","11.3","12","0.9"
"477","Devon Wylie","KC","WR","11.3","6","1.9"
"478","Lavelle Hawkins","TEN","WR","11.2","7","1.6"
"479","Ben Obomanu","SEA","WR","10.9","8","1.4"
"480","Michael Preston","TEN","WR","10.9","4","2.7"
"481","Nate Byham","TB","TE","10.8","11","1.0"
"482","Jabar Gaffney","MIA","WR","10.8","3","3.6"
"483","Taylor Thompson","TEN","TE","10.6","16","0.7"
"484","Thaddeus Lewis","CLE","QB","10.5","1","10.5"
"485","Steve Maneri","KC","TE","10.1","13","0.8"
"486","Lex Hilliard","Multi","RB","9.6","14","0.7"
"487","Kyle Orton","DAL","QB","9.6","1","9.6"
"487","Ladarius Green","LAC","TE","9.6","4","2.4"
"489","Quinn Johnson","TEN","RB","9.5","16","0.6"
"490","Jason Hill","NYJ","WR","9.5","2","4.8"
"491","Brandon Jackson","CLE","RB","9.4","2","4.7"
"492","Richard Murphy","JAC","RB","9.2","5","1.8"
"493","Garrett Celek","SF","TE","9.1","13","0.7"
"494","Kahlil Bell","Multi","RB","8.9","5","1.8"
"494","Anthony Sherman","ARI","RB","8.9","13","0.7"
"494","Matt Moore","MIA","QB","8.9","2","4.5"
"494","Richard Gordon","LV","TE","8.9","13","0.7"
