"Rank","Player","Team","Position","Points","Games","Avg"
"478","Christian Ponder","MIN","QB","12.5","2","6.3"
"479","Jimmy Garoppolo","NE","QB","12.2","6","2.0"
"479","Danny Woodhead","LAC","RB","12.2","3","4.1"
"481","Darren Fells","ARI","TE","12.1","10","1.2"
"482","Garrett Hartley","CLE","K","12.0","2","6.0"
"483","Johnny Manziel","CLE","QB","11.9","5","2.4"
"484","Austin Johnson","NO","RB","11.7","7","1.7"
"485","Bryan Walters","SEA","WR","11.5","13","0.9"
"486","Kris Durham","TEN","WR","11.4","4","2.9"
"487","Adrian Peterson","MIN","RB","11.3","1","11.3"
"488","Luke Stocker","TB","TE","11.1","13","0.9"
"489","James White","NE","RB","11.1","3","3.7"
"490","Chris Ogbonnaya","Multi","RB","11.0","7","1.6"
"491","Derrick Coleman","SEA","RB","10.9","5","2.2"
"492","James Develin","NE","RB","10.8","16","0.7"
"493","Russell Shepard","TB","WR","10.3","16","0.6"
"494","Will Johnson","PIT","RB","10.1","16","0.6"
"495","Kevin Ogletree","NYG","WR","10.0","7","1.4"
"495","Alex Henery","DET","K","10.0","2","5.0"
"495","Cedric Peerman","CIN","RB","10.0","16","0.6"
"498","Jerrel Jernigan","NYG","WR","9.8","2","4.9"
"499","Andre Caldwell","DEN","WR","9.7","16","0.6"
"500","Jeff Maehl","PHI","WR","9.6","8","1.2"
"501","Nic Jacobs","JAC","TE","9.6","13","0.7"
"502","Ace Sanders","JAC","WR","9.5","12","0.8"
"503","Cyrus Gray","KC","RB","9.1","9","1.0"
"504","James Hanna","DAL","TE","8.8","16","0.6"
"505","Seyi Ajirotutu","LAC","WR","8.5","16","0.5"
"505","Frankie Hammond","KC","WR","8.5","16","0.5"
"505","DuJuan Harris","GB","RB","8.5","15","0.6"
"508","Brandon Williams","CAR","TE","8.4","14","0.6"
"509","Brandon Bostick","GB","TE","8.3","13","0.6"
"509","Bear Pascoe","ATL","TE","8.3","16","0.5"
"511","Chase Daniel","KC","QB","7.8","3","2.6"
"512","Trey Watts","LAR","RB","7.8","14","0.6"
"513","Quinton Patton","SF","WR","7.4","4","1.9"
"514","Michael Hoomanawanui","NE","TE","7.4","16","0.5"
"515","George Winn","DET","RB","7.3","12","0.6"
"516","Garrett Celek","SF","TE","7.3","3","2.4"
"517","Logan Thomas","ARI","TE","7.2","2","3.6"
"518","Jorvorskie Lane","TB","RB","7.1","9","0.8"
"519","Michael Palmer","PIT","TE","7.1","15","0.5"
"519","John Phillips","LAC","TE","7.1","16","0.4"
"519","Kevin Brock","CIN","TE","7.1","14","0.5"
"522","Fitzgerald Toussaint","BAL","RB","6.9","4","1.7"
"523","Aaron Dobson","NE","WR","6.8","4","1.7"
"523","Troy Niklas","ARI","TE","6.8","7","1.0"
"525","Tyler Eifert","CIN","TE","6.7","1","6.7"
"526","Michael Cox","NYG","RB","6.2","4","1.6"
"527","Brock Osweiler","DEN","QB","6.1","4","1.5"
"528","Marquise Goodwin","BUF","WR","6.0","10","0.6"
"529","Blaine Gabbert","SF","QB","6.0","1","6.0"
"529","Phillip Supernaw","Multi","TE","6.0","8","0.8"
"529","Alfonso Smith","SF","RB","6.0","6","1.0"
"532","Matt McGloin","LV","QB","5.5","1","5.5"
"533","Jarrett Boykin","GB","WR","5.3","13","0.4"
"534","Tommy Bohanon","NYJ","RB","5.3","4","1.3"
"535","Harold Hoskins","MIA","TE","5.1","11","0.5"
"536","Demetrius Harris","KC","TE","5.0","8","0.6"
"537","Ray Agnew","CLE","RB","4.7","12","0.4"
"538","Craig Stevens","TEN","TE","4.6","5","0.9"
"539","Ryan Broyles","DET","WR","4.5","5","0.9"
"540","Taylor Thompson","TEN","TE","4.4","3","1.5"
"541","Cody Latimer","DEN","WR","4.3","8","0.5"
"541","Darrius Heyward-Bey","PIT","WR","4.3","16","0.3"
"543","Mike James","TB","RB","4.2","11","0.4"
"544","DeVier Posey","HOU","WR","4.0","1","4.0"
"544","Connor Shaw","CLE","QB","4.0","1","4.0"
"546","Devin Street","DAL","WR","3.8","16","0.2"
"547","Jeff Janis","GB","WR","3.6","3","1.2"
"548","Jay Prosch","HOU","RB","3.4","16","0.2"
"548","David Ausberry","LV","TE","3.4","6","0.6"
"550","Tavarres King","TB","WR","3.3","2","1.7"
"551","Antonio Andrews","TEN","RB","3.1","4","0.8"
"552","Vance McDonald","SF","TE","3.0","8","0.4"
"553","Cameron Brate","TB","TE","2.7","5","0.5"
"554","Jerome Felton","MIN","RB","2.7","16","0.2"
"555","Joe Webb III","CAR","QB","2.6","7","0.4"
"556","Brian Leonard","NO","RB","2.5","1","2.5"
"557","Damian Williams","Multi","WR","2.4","3","0.8"
"558","Griff Whalen","IND","WR","2.3","10","0.2"
"559","Jeremy Stewart","DEN","RB","2.2","6","0.4"
"560","Courtney Roby","ATL","WR","2.1","4","0.5"
"560","Ryan Nassib","NYG","QB","2.1","4","0.5"
"560","Brad Smith","PHI","WR","2.1","13","0.2"
"563","Solomon Patton","TB","WR","1.9","7","0.3"
"563","Shaun Draughn","Multi","RB","1.9","10","0.2"
"565","Josh Cribbs","IND","WR","1.8","6","0.3"
"565","Matt Simms","NYJ","QB","1.8","1","1.8"
"565","Marcel Jensen","JAC","TE","1.8","1","1.8"
"565","Micheal Spurlock","CHI","WR","1.8","1","1.8"
"569","Aldrick Robinson","WAS","WR","1.6","5","0.3"
"569","Josh Harris","PIT","RB","1.6","5","0.3"
"571","Will Tukuafu","SEA","RB","1.6","9","0.2"
"572","David Johnson","LAC","TE","1.4","14","0.1"
"572","Kevin Dorsey","GB","WR","1.4","3","0.5"
"574","Henry Hynoski","NYG","RB","1.3","16","0.1"
"575","Tyler Clutts","DAL","RB","1.1","16","0.1"
"575","Jason Campbell","CIN","QB","1.1","4","0.3"
"577","Trey Burton","PHI","TE","1.0","15","0.1"
"578","LaMichael James","Multi","RB","0.9","3","0.3"
"578","Senorise Perry","CHI","RB","0.9","16","0.1"
"580","Matt Moore","MIA","QB","0.6","2","0.3"
"581","T.J. Yates","ATL","QB","0.6","1","0.6"
"582","Tom Savage","HOU","QB","0.5","2","0.3"
"583","Kellen Clemens","LAC","QB","0.4","2","0.2"
"584","Edwin Baker","NO","RB","0.2","3","0.1"
"584","Jordan Palmer","TEN","QB","0.2","1","0.2"
"586","Kyle Nelson","SF","TE","0.0","16","0.0"
"586","Josh Boyce","NE","WR","0.0","1","0.0"
"586","Deonte Thompson","BUF","WR","0.0","1","0.0"
"586","Steve Maneri","NE","TE","0.0","1","0.0"
"586","Jerome Smith","ATL","RB","0.0","1","0.0"
"586","Charcandrick West","KC","RB","0.0","6","0.0"
"586","Zach Line","MIN","RB","0.0","1","0.0"
"586","Justin Perillo","GB","TE","0.0","2","0.0"
"586","Leonard Hankerson","WAS","WR","0.0","1","0.0"
"586","Evan Rodriguez","TB","RB","0.0","1","0.0"
"586","Beau Brinkley","TEN","TE","0.0","16","0.0"
"586","Rico Richardson","TEN","WR","0.0","1","0.0"
"586","J.J. Jones","FA","WR","0.0","16","0.0"
"586","Phillip Tanner","SF","RB","0.0","2","0.0"
"586","Chris Pantale","NYJ","TE","0.0","5","0.0"
"586","Tarvaris Jackson","SEA","QB","0.0","1","0.0"
"586","Dominique Jones","DEN","TE","0.0","1","0.0"
"586","Weslye Saunders","IND","TE","0.0","1","0.0"
"586","Blake Annen","CHI","TE","0.0","5","0.0"
"586","Taiwan Jones","LV","RB","0.0","1","0.0"
"586","Marc Mariani","CHI","WR","0.0","6","0.0"
"586","Chris Matthews","SEA","WR","0.0","3","0.0"
"586","Scott Simonson","LV","TE","0.0","4","0.0"
"586","Drew Davis","ATL","WR","0.0","6","0.0"
"586","Anthony Denham","HOU","TE","0.0","4","0.0"
"586","Tommy Streeter","JAC","WR","0.0","2","0.0"
"586","George Atkinson III","LV","RB","0.0","5","0.0"
"586","Glenn Winston","CLE","RB","0.0","5","0.0"
"586","Onterio McCalebb","CIN","WR","0.0","1","0.0"
"586","Richie Brockel","CAR","TE","0.0","4","0.0"
"586","Matt Barkley","PHI","QB","0.0","1","0.0"
"586","Darius Johnson","FA","WR","0.0","16","0.0"
"586","Marcus Easley","BUF","WR","0.0","10","0.0"
"586","Jordan Gay","BUF","K","0.0","16","0.0"
"586","Jalen Parmele","ARI","RB","0.0","1","0.0"
"586","Tony Fiammetta","CHI","RB","0.0","1","0.0"
"586","Rodney Smith","Multi","WR","0.0","4","0.0"
"586","Mike Leach","ARI","TE","0.0","16","0.0"
"586","Matthew Mulligan","Multi","TE","0.0","4","0.0"
"586","Keith Smith","DAL","RB","0.0","10","0.0"
"586","Asante Cleveland","SF","TE","0.0","6","0.0"
"586","Brett Brackett","Multi","TE","0.0","8","0.0"
"586","Alex Bayer","LAR","TE","0.0","6","0.0"
"586","Montell Owens","Multi","RB","0.0","6","0.0"
"586","Jonathan Brown","FA","K","0.0","16","0.0"
"586","Alex Smith","CIN","TE","0.0","2","0.0"
"586","Clark Harris","CIN","TE","0.0","16","0.0"
"586","Luke McCown","NO","QB","0.0","16","0.0"
"586","Matthew Slater","NE","WR","0.0","16","0.0"
"586","Julian Talley","NYG","WR","0.0","2","0.0"
"586","Rashad Ross","CHI","WR","0.0","2","0.0"
"586","Chase Reynolds","LAR","RB","0.0","15","0.0"
"586","Zach Miller","FA","TE","0.0","3","0.0"
"586","Quincy Enunwa","NYJ","WR","0.0","1","0.0"
"586","Greg Scruggs","SEA","TE","0.0","3","0.0"
"586","Gerell Robinson","Multi","TE","0.0","3","0.0"
"586","Kassim Osgood","SF","WR","0.0","13","0.0"
"586","Mario Harvey","IND","RB","0.0","3","0.0"
"586","Marlon Moore","CLE","WR","0.0","13","0.0"
"586","Rashaun Allen","SEA","TE","0.0","1","0.0"
"586","Laron Byrd","CLE","WR","0.0","1","0.0"
"586","Jordan Thompson","DET","TE","0.0","2","0.0"
"586","Kiero Small","CLE","RB","0.0","3","0.0"
"586","Freddie Martino","ATL","WR","0.0","1","0.0"
"586","Saalim Hakim","NYJ","WR","0.0","16","0.0"
"586","Josh Bellamy","CHI","WR","0.0","4","0.0"
"586","Mickey Shuler","JAC","TE","0.0","3","0.0"
"586","Kellen Davis","DET","TE","0.0","6","0.0"
"586","Richard Gordon","Multi","TE","0.0","5","0.0"
"586","Trindon Holliday","Multi","WR","0.0","2","0.0"
"586","Phil Bates","SEA","WR","0.0","1","0.0"
"586","Ryan Taylor","Multi","TE","0.0","13","0.0"
"658","Bruce Gradkowski","PIT","QB","-0.2","1","-0.2"
"658","DeAndre Presley","CAR","WR","-0.2","4","-0.1"
"660","Tyrod Taylor","BAL","QB","-0.3","1","-0.3"
"661","Jalen Saunders","Multi","WR","-0.3","9","-0.0"
"662","Chris Williams","CHI","WR","-0.8","7","-0.1"
"663","Walter Powell","NYJ","WR","-2.0","4","-0.5"
"663","Isaiah Burse","DEN","WR","-2.0","12","-0.2"
"663","Tauren Poole","CAR","RB","-2.0","1","-2.0"
"663","Marcus Thigpen","Multi","WR","-2.0","9","-0.2"
"667","Matt Flynn","GB","QB","-2.4","7","-0.3"
"668","Matt Schaub","LV","QB","-3.7","11","-0.3"
""
""
